昵称,地区,性别,粉丝数,用户发布微博数量,评论
北巷de初睛,广西 南宁,女,666,1,这波站徐娇，没人想吸二手烟
StrongerStrongest,湖南 长沙,女,84,1381,欢迎大家来文明城市长沙吸二手烟
游戏投投机,陕西,女,3492033,16872,"强龙难压地头蛇<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
桃了个桃730,北京 东城区,女,694,1676,长沙室内没有禁烟条例？
_造梦岛屿_,其他,男,96,1638,室内抽烟有影响 没想到长沙居然没有规定 厉害了
时过境迁31389,其他,男,1,31,这波支持徐娇
Shiningnshygd_ya,广东,女,636,6772,二手烟真的令人难受
小ke爱豆,广东 惠州,男,301,72,"此时 单位人员刚手里叼着那口香烟说，室内抽烟不犯法<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />"
Tie_up_a,其他,女,112,3109,都24年了居然还有公共场所不禁烟？
月落云里,其他,女,213,900,好牛的嘞，不愧是长沙
飞呀飞呀飞fox,北京,女,997,2245,"还有能不能边走路边抽烟的自己一个地球啊，每次路窄只能跟在后面吸二手烟<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
紅莓黑加侖愛情水,四川,女,62,7640,二手烟谁喜欢啊
一只哆哆哆肉刺猬_,海外,女,158,3461,"烟味真的巨难闻 谁想闻二手烟啊<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
只有我一个麦子,湖南 长沙,女,80,103,所以长沙有些餐厅不禁烟，我都惊呆了
MyMytan,其他,男,568,207,哎 ，想不明白，自己抽烟为啥要影响别人，太自私啦～
周杰伦小公举701,其他,女,3,193,"抽烟的人是不是觉得自己抽烟别人闻起来特别香啊？<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
白昼不语夜,江苏,男,413,2688,"长沙，你让我颜面无存<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
戒糖不戒w甜甜,广东 广州,女,235,2512,知道了，长沙欢迎大家室内吸烟。广大烟瘾爱好者，要多来长沙啊，带上你们的家人孩子一起来腾云驾雾～
给漂亮MM点赞的乔同学,北京,男,88,92,一个槟榔大肆宣传当零食的省份，别说禁烟了我觉得宣传都没那么过分
3unyy,黑龙江 齐齐哈尔,女,126,126,作为孕妇真的不想吃饭的时候吸二手烟，二手烟危害本来就大，何况是餐厅公共场合。
直视你的眼神与她不同,四川 南充,女,136,2796,好的不去长沙了不想吃个饭吸二手烟
万事都灵心向往之,其他,男,7,359,"厂商从此跌落一线城市<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />这规定都没有"
橙熟的逗比炮,海外,女,1409678,69021,室内抽烟有影响 没想到长沙居然没有规定 厉害了
我会唱哆来咪,其他,女,47,4469,"经过这次，长沙会不会整治室内二手烟<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />感谢徐娇发声"
找找----,其他,女,247,7611,原来长沙公共场合室内可以抽烟，哇哦
