昵称,地区,性别,粉丝数,用户发布微博数量,评论
2Culvert,浙江,男,31982,3562,还有汶川地震是全国捐款最多的一次，万众一心，放到现在己不可能，人心散了。
wiiy_1,其他,女,145,2663,"唐山人表示真的很恐惧<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />"
念深深情诗,湖南,女,14045,2525,五十大寿
-柯森森,浙江 台州,男,17,252,高楼的根本跑不了，所以民间说:小震不用跑，大震跑不了
寄往河山的信,浙江 台州,女,40,230,我好像捐了80 那时候我才17-18岁
冰冷雯少-,其他,女,3,67,那年我上小学四年级，现在我30岁了
毛主义号手,上海,男,9,23,您六十高寿还是游戏博主？
澈澈澈儿yu,浙江 宁波,女,6830,10024,"震级不大 愿平安<img alt=""[拳头]"" title=""[拳头]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/86/2018new_quantou_org.png"" />"
琳琅长空h,其他,女,3,8,"手机没这个功能，老手机了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
像阳光那样成长,其他,女,60,2082,"<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" />"
潜意识操控,海外,女,26937,20022,"注意安全 宝<img alt=""[求关注]"" title=""[求关注]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/ac/lxhqiuguanzhu_org.gif"" />"
帝赵耀,河南,男,821,1175,🙏震级不大，应该生命财产都安全吧～
Yu-www-,四川 自贡,女,94,1076,"3.1级都上热搜了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />…我的设置是4级以下提都不要提醒…"
予你北山岸边等风来续温柔,辽宁 沈阳,女,16,32148,震级虽小但也愿平安🙏
不是35号也不是7号,湖南 怀化,男,888,2178,希望大家都平安
爱兮贝尔GY,四川,女,1128,7573,3.1级，应该没啥感觉吧？
追风的Child,四川,男,2183,228,"成都没震感<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
奕铎迅,其他,男,52,28679,转发微博
图都不吐图都,重庆,女,1787,46764,平平安安
懒旳解释,海外 其他,女,133,477,🙏一切皆安
旋律漫步者,四川 成都,女,86,2462,"难怪没啥感觉<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
Maybe方总最帅,其他,女,1,2099,祝平安🙏
小猫姩姩酱,其他,女,36,175,"平安<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
muma梦梦,辽宁 大连,女,236,1093,3.1级还要上个热搜，我们四川人是没见过世面吗笑
北海以北海未眠Are,其他,女,0,1,怎么又地震了
麋鹿佑,四川 泸州,男,9,53,吓我一跳，上热搜了还以为家里出事了
梦里的西瓜大又甜,广东 广州,男,268,2664,今天首飞，是得到了回应吗
噗噗小福西,重庆,女,477,825,龙马潭区的我们，没感觉，平平安安
偶遇心软的财神爷,其他,女,46,805,"<a href=/n/Persimmmon usercard=""name=@Persimmmon"">@Persimmmon</a> 你有感觉到嘛"
皓月永沉吾心,四川,女,24,760,5级以下都不慌
8李白仙人8,四川 成都,男,0,9,"3.1级小场面<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />"
Wing_200001,其他,男,17,1,把戰略經濟搬到四川。新建的重點企業廠房要有高強度防震才行吧。不竟全球近年是地震活躍期。 願我國繁榮昌盛。國泰民安。風調雨順。🙏
九龙警方,四川,男,4140,8011,"<a href=""//s.weibo.com/weibo?q=%23%E5%9B%9B%E5%B7%9D%E6%B3%B8%E5%B7%9E%E5%B8%82%E5%8F%91%E7%94%9F3.1%E7%BA%A7%E5%9C%B0%E9%9C%87%23"" target=""_blank"">#四川泸州市发生3.1级地震#</a>"
茉莉茶我的爱,其他,女,3,107,平平安安
你是个什么草,其他,女,0,106,平安
甲辰锦鲤龙,重庆,男,207,3423,泸州右边的江津区没感受到
鱼别yb,其他,男,21,48,"就晃了两下<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
力儿lili,四川 绵阳,女,160,2367,3.1。。。。。。。
cococil-,其他,女,592,1251,大家一定要注意安全！祝平安
安弱吖,其他,女,0,0,大家都在平安吗
银河系的星星超级美呀,四川,女,84,258,"我都没感觉到<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
豌豆花的世界,四川 成都,女,66,16,3.1，不用理
防伪标痣xz,其他,女,233,9731,成都的我没感觉
张涵我爱有钱,其他,女,28,595,"我就离震中只有30公里，没有啥感觉，也有可能是因为我在开车，所以没感觉到<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />"
真的叫小白_,其他,女,0,4,"<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />我北京的。。。为什么我会有感觉，我家人一点感觉都没。于是乎我才来微博看看情况。"
唯祎DI,四川 绵阳,女,242,966,啥也没有，我都不知道地震了
野生饼姥爷,四川 广元,男,188,30,"爱来自广东<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
旎的杨佳莹,其他,女,16,5384,平平安安
小黄有点懒-,其他,女,260,203,一定要平安
今晚早点训咩,其他,女,61,4208,希望平安
耀西的耀饭,其他,女,12012,4000,愿所有人平安
kiku-祎点泪,其他,女,164,283,平平安安啊
手机用户3292477405,其他,男,63,229,3.1级，大惊小怪
我的夏天来了啊,四川 眉山,男,413,1613,还没我放屁动静大
似梦非梦雨无声,四川,男,43,7,"3.1级?现在3.1都能上热搜了吗<img alt=""[污]"" title=""[污]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/10/2018new_wu_org.png"" />"
Danny伸出手吧,广东 广州,女,405,975,愿平安
槐序初七_,河南 郑州,女,7,67,啊？哪震了哪震了
路上的态度,四川 泸州,女,220,451,谢谢，没有感觉
Kainy,广东 深圳,男,1551,5648,你的关切让人感动，这样的速度和广度传播安全信息，体现了社会的温暖和互帮互助精神。
南风凉-01,安徽 合肥,男,2,0,没新闻可以不发
FM919白羊,其他,女,2,20,3.1级对于四川来说这不是常态吗？
用户5194171207,海外 美国,男,21,12,3级，不用祈祷。
