昵称,地区,性别,粉丝数,用户发布微博数量,评论
年年有好多魚丶,福建 泉州,女,16342,2801,我也想去
魚骨悲,河北,女,16214,4802,"<img alt=""[给力]"" title=""[给力]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/2018new_geili_org.png"" /><img alt=""[给力]"" title=""[给力]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/36/2018new_geili_org.png"" />"
祈旧焰,广东,男,12925,10331,🌿
粉色耳朵冰激凌松糕,其他,女,11020,5240,博主好高质
strawberry_okk,其他,女,363,91,演员们会不会高反？好辛苦
梦露的危笑ya,四川,女,25,17,"说到墨脱，不得不提盗墓笔记了。<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
临川听雪覓kiku,其他,男,10601,1867,"感谢分享<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" />"
Ordinary姗姗,广西 南宁,女,360,1665,高反把我给淘汰了～
waytooo,广东 广州,男,733,6404,，，
养骆有点字多喵嗷嗷嗷呜,其他,女,431,3005,石锅鸡好吃！南迦巴瓦限定日照金山 
不为人知ik,北京,男,155,8,60年？
添添正能量2325,海外,男,0,86,想去
清泉竹喧哗,浙江 金华,男,2,63,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
凌晨一点的卡夫卡熊,其他,女,148,306,"我今天二月份去了<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />"
catforever,浙江 台州,女,258,1184,会不会高反
1_20170222,上海 宝山区,男,527,2365,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
戒不掉的零食吖,河北,女,28,4240,去了还想去的地方
嘻嘻Chou,广东,男,50,962,第一个场景是在意大利……
卷不赢就躺着赢,河南,女,93,452,告诉我啥季节去最好
Fover_觞,北京 东城区,女,2,290,转发微博
Kainy,广东 深圳,男,1551,5648,哇，你这是要挑战极限旅行啊！西藏的美丽，是让人心向往之的自由天堂，连春晚都去打卡了，你还不赶紧行动起来？站在高山之巅，感受那份宁静与神圣，这绝对是年度最难忘的旅行记忆！别忘了分享你的高原故事哦～🏔️✨
用户7289503164,其他,女,2,9,21秒的雪景有点像独库公路？
微博旅行家,北京,男,809260,11941,"冬日旅行精彩不停，快加入<a href=""//s.weibo.com/weibo?q=%23%E5%BE%AE%E5%8D%9A%E6%97%85%E8%A1%8C%E5%AE%B6%23"" target=""_blank"">#微博旅行家#</a>分享你的旅行体验。添加<a href=""//s.weibo.com/weibo?q=%23%E5%BE%AE%E5%8D%9A%E6%97%85%E8%A1%8C%E5%AE%B6%23"" target=""_blank"">#微博旅行家#</a>话题词将有机会获得曝光资源、红包惊喜！了解更多戳&gt;&gt; <a target=""_blank"" href=""https://m.weibo.cn/c/wbox?id=9d1inpvbc1&outid=60f50600c81713436020&src=by1&mark_id=999_reallog_mark_ad%3A999%7CWeiboADNatural""><img class=""icon-link"" title=""http://t.cn/A6HVQi2d"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_web_default.png""/>网页链接</a>"
Hey范小菌,河北 唐山,女,11,409,去过，高原反应不太严重，但走急了真的喘
不吃火锅的锅锅,其他,男,97,6803,西藏的风景美如画的，也是特别的漂亮
别烦煮玉米,江苏 无锡,女,155,20723,这景色也太美了每一张都可以当做壁纸的程度
对位鞠苯酚,其他,女,142,28577,"西藏的风景一直都是很漂亮的<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" />"
宋可可不是koko,广西 钦州,男,155,8553,大自然真的是鬼斧神工啊，有空去西藏旅游一下
洋子if,北京,女,22,5344,"有机会一定要去西藏玩一玩，可把我羡慕坏了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
慢慢啊慢慢啊慢,河南 焦作,女,517,2265,此生必去一次西藏
记忆模糊了kk,黑龙江 大庆,女,86,15270,"我也好想去西藏旅游啊<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />好漂亮"
香薰芭蕾,河北 邢台,女,112,34722,这里看起来也太美了嘛
狗熊岭呆呆鱼,重庆,女,40,15925,想去但是高反遭不住呀
哆咪哆咪比心,北京,女,13,307,这地方我可受不了高反太严重
美好的幸福是甜,广东,男,85,5241,已经被这里的美景吸引，我想去看看
小狗无敌酱,其他,女,104,15312,如果是西藏的话真的是遭不住
小云朵来吃糖吧,其他,男,83,7435,这里的景色真的是太美啦我也想去
仙女招财喵,贵州,女,25,14127,"看到这分享，真是遭不住了，羡煞我呀<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
念念每天都想吃薯片,广东,女,204,49894,看着我也很想去这里亲眼看一看了
榴莲超好吃也,其他,男,145,5024,我也好想去玩一下了
飞鸟旧林www,河北 唐山,女,72,17431,看着这样的美景都感觉心情豁然开朗了
Kwenth,上海,女,32,11034,好漂亮的景色啊我是真的好想去
真是反押题啊,北京 怀柔区,女,174,37705,果然美丽的风景让人心旷神怡
我偏科吖,黑龙江 绥化,女,36,19384,"这也太美了吧这辈子我一定要去一次<img alt=""[爱慕]"" title=""[爱慕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/18/2023_adore_org.png"" />"
丢幼,福建,男,28,2892,西藏的景色就是很美的呀
Winter-Ccc,上海 青浦区,男,115,11,还想再去一次 
用户7809018400,江西,女,2,186,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
WXW回家,黑龙江,男,138,42430,很壮观的感觉被吸引到了一起来看
长安远远乡,其他,女,26,4721,想去，但是怕适应不了啊
别kkkkkk,其他,男,188,25160,我真的也非常的想去西藏啊！
欢乐喜剧人的阿珂,其他,男,138,8636,真是这样吗，高反一般的人都受不了吧！
主xi夸我靓,广东 汕头,女,196,2489,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
小鹭0,福建 三明,女,69,2302,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去了，我也好想去"
囧卡晶,北京,女,105,5852,等到春暖花开我也要去
练习者only_you,其他,男,37,1958,"君君去了，那肯定要去<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" /><img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />"
Juliet叶叶子,北京,女,149,3047,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过西藏，我也好想去西藏<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
会遇见i放心,湖北 鄂州,女,113,8588,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去了，我也好想去"
陌上人如玉公子世无双-陈丽君,其他,男,37,5914,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
juri2017,贵州 贵阳,女,3,730,"跟着陈丽君一起去旅游，西藏等我～<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />"
这次可以了阿巴阿巴,北京,女,72,1587,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  啊<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
向光而行_追光而去,福建,女,11,459,"我也想去<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
花开花落终有时mi,新疆,女,5,186,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  陈丽君去了的地方，我也好想去，就是害怕缺氧<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" />"
我在花果山种桃,浙江 温州,男,18,1692,"非常非常非常想去，去走走君君玩过的景区<img alt=""[嘻嘻]"" title=""[嘻嘻]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/33/2018new_xixi_org.png"" /><img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />"
我的大观园,四川 宜宾,女,308,874,"西藏是我向往的地方，此生必驾318<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />"
我的大观园,四川 宜宾,女,308,874,君君去过的，我要去
惦记无糖可乐啦,广东 深圳,女,380,4016,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去了，我也好想去"
青春昌都,西藏,男,25748,7707,转发微博
中国移动西藏公司,西藏 拉萨,女,1366265,21502,我们在拉萨等你~
懿瑶_CLJ,山东,女,1451,81539,"君君去过的地方我想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
喜欢下雪天的王小二,河南 商丘,女,2832,56,期待期待
我是张恒铭,其他,女,24,1736,"君君去过的地方，我也想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
不好说口袋的钱,其他,女,10,1238,好好好
2007灿,其他,女,122,125,君君去过西藏了我也要去[锦鲤附体]
fanfan也是饭饭,其他,女,29,1308,"想去陈丽君去过的地方<img alt=""[爱慕]"" title=""[爱慕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/18/2023_adore_org.png"" /><img alt=""[爱慕]"" title=""[爱慕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/18/2023_adore_org.png"" /><img alt=""[爱慕]"" title=""[爱慕]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/18/2023_adore_org.png"" /><a href=/n/陈丽君_点绛唇 usercard=""name=@陈丽君_点绛唇"">@陈丽君_点绛唇</a>"
GGoooogle,其他,女,273,7928,就是不知道自己会不会高反，一直期待着去一次西藏……
面条馄饨饺子,其他,女,20,272,"我也想去！<img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" /><img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" /><img alt=""[鼓掌]"" title=""[鼓掌]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_guzhang_org.png"" />"
一只刺小羊_,四川,女,178,87,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a> 君君真好看<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />"
莫愁师太太,其他,女,104,1874,"西藏日报，你是懂流量密码的，看好你哦<img alt=""[老师爱你]"" title=""[老师爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/82/2023_Teacherlovesyou_org.png"" /><img alt=""[老师爱你]"" title=""[老师爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/82/2023_Teacherlovesyou_org.png"" /><img alt=""[老师爱你]"" title=""[老师爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/82/2023_Teacherlovesyou_org.png"" /><img alt=""[老师爱你]"" title=""[老师爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/82/2023_Teacherlovesyou_org.png"" />"
大宝贝陈丽君,其他,女,22,787,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过西藏，我也好想去西藏<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />"
咪姆霏的君,其他,女,1,275,"君君在西藏的时候好开心<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a>"
长孙二公子,北京 东城区,男,105,5902,"陈丽君<img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" /><img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" /><img alt=""[哇]"" title=""[哇]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3d/2022_wow_org.png"" />"
用户05ddqc00ia,其他,女,5,2102,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />"
君君开心jun,其他,女,9,909,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过西藏，我也好想去西藏<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />"
那是心中的光啊,重庆,女,33,421,"去过<img alt=""[酷]"" title=""[酷]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c4/2018new_ku_org.png"" />"
为陈丽君而来,其他,女,6,1070,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  啊<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />君君去过的地方，我也好想去<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />美丽的布达拉宫"
东方红-2016,浙江 宁波,女,61,466,看陈丽君玩得好欢乐我也要去
爱幻想的狮子座JM,福建,女,2,471,"<a href=""//s.weibo.com/weibo?q=%23%E6%98%A5%E6%99%9A%E9%83%BD%E5%8E%BB%E8%A5%BF%E8%97%8F%E4%BA%86%E6%88%91%E4%B9%9F%E8%A6%81%E5%8E%BB%23"" target=""_blank"">#春晚都去西藏了我也要去#</a><a href=""//s.weibo.com/weibo?q=%23%E9%99%88%E4%B8%BD%E5%90%9B%23"" target=""_blank"">#陈丽君#</a>  君君去过的地方，我也想去"
Pinglisa05,其他,女,13,51,"陈丽君老师<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" /><img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />"
谭的泥的,其他,女,4,263,"<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" /><img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" /><img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />"
蒹葭xu2025,江苏 南京,女,97,4698,明年夏天准备去
